anime_id,score,watching_status,watched_episodes
33506,0,1,3
38753,0,1,5
50205,8,1,4
28249,0,1,5
50854,0,1,7
34618,0,1,3
5356,0,1,2
232,0,1,3
1,0,1,13
42310,10,1,7
35849,8,1,10
37520,0,1,7
40454,0,1,9
50481,0,1,5
33047,0,1,6
33743,7,1,9
33731,0,1,2
39463,0,1,2
31629,0,1,7
387,0,1,1
28891,0,1,8
1889,0,1,2
36884,8,1,4
42897,9,1,7
50197,0,1,5
249,8,1,36
41514,0,1,7
48753,0,1,12
39534,8,1,2
10357,8,1,2
12679,9,1,6
48316,0,1,9
52446,0,1,1
34933,0,1,7
40221,0,1,10
49109,0,1,3
53050,0,1,3
35860,0,1,4
11079,0,1,9
6045,0,1,9
40595,7,1,6
22535,9,1,8
31952,0,1,6
28623,0,1,3
6707,0,1,6
18153,0,1,2
50709,10,1,2
39071,0,1,2
14513,0,1,6
40497,0,1,4
35062,0,1,18
16067,0,1,1
40513,0,1,5
38924,0,1,6
18897,0,1,1
7592,0,1,5
21,0,1,9
51678,9,1,9
5341,10,1,2
527,8,1,6
31240,0,1,10
32951,0,1,1
50613,0,1,15
50664,0,1,9
50932,0,1,10
37450,8,1,6
2104,0,1,5
38759,0,1,1
50421,0,1,2
38659,0,1,3
46985,0,1,3
33433,0,1,5
44942,8,1,7
40586,0,1,6
18277,0,1,14
54234,0,1,4
14289,0,1,1
27783,0,1,8
2001,0,1,3
53393,8,1,6
3974,0,1,1
52305,0,1,1
14227,9,1,6
4224,0,1,15
39942,0,1,1
50710,0,1,1
3457,0,1,6
51552,0,1,6
14813,0,1,1
32615,0,1,2
4548,0,1,1
12403,0,1,1
54112,0,1,4
37976,0,1,4
29978,5,2,1
38101,9,2,12
39790,8,2,12
36904,8,2,10
37985,8,2,10
40215,8,2,10
45489,8,2,10
50598,8,2,10
38815,7,2,1
49979,6,2,12
6547,9,2,13
9062,9,2,2
9989,9,2,11
24833,9,2,22
30654,10,2,25
32863,9,2,8
9919,9,2,25
32827,7,2,12
46352,8,2,12
40060,8,2,12
47917,9,2,12
31964,10,2,13
44511,10,2,12
14741,10,2,12
16934,9,2,1
18671,9,2,12
38409,7,2,10
34437,9,2,1
1575,10,2,25
2904,10,2,25
38656,7,2,11
34497,6,2,12
43814,7,2,12
28121,9,2,13
37347,9,2,12
37033,8,2,13
34662,10,2,25
34321,8,2,1
12565,8,2,1
22297,10,2,12
28701,10,2,13
27821,10,2,1
53127,9,2,1
10087,10,2,13
11741,10,2,12
5114,10,2,19
51212,6,2,12
48760,7,2,12
2890,10,2,1
34959,4,2,2
28907,8,2,12
31637,8,2,12
23289,9,2,12
41710,7,2,13
49930,7,2,13
14131,9,2,12
18617,9,2,1
27631,7,2,13
43692,9,2,5
48707,9,2,5
53148,9,2,5
34279,10,2,24
40052,10,2,23
20583,9,2,25
39676,7,2,12
42956,7,2,12
50401,7,2,12
15809,7,2,13
37141,9,2,13
38733,9,2,1
27829,6,2,24
5060,7,2,52
934,9,2,26
28825,8,2,12
30991,8,2,2
35376,8,2,12
31234,8,2,12
45574,8,2,1
39468,7,2,14
40815,8,2,12
431,10,2,1
42361,8,2,12
52830,6,2,13
37210,8,2,12
51462,7,2,12
49438,7,2,12
40010,6,2,12
22429,6,2,1
23479,6,2,1
38790,9,2,12
52619,8,2,12
5680,8,2,13
9617,8,2,1
7791,8,2,26
9734,8,2,1
6862,8,2,1
37999,8,2,12
43608,8,2,13
40591,8,2,12
43609,6,2,1
7054,8,2,26
40750,4,2,12
41312,8,2,12
40839,8,2,12
42963,8,2,12
7711,10,2,1
53163,8,2,12
572,10,2,1
18679,10,2,24
21659,9,2,2
38000,10,2,26
40456,10,2,1
47778,10,2,11
32281,10,2,1
33191,10,2,4
33206,8,2,13
39247,8,2,12
49893,8,2,1
35363,8,2,1
28851,10,2,1
48926,9,2,12
50631,9,2,12
49909,7,2,10
43,10,2,1
34712,8,2,12
37984,8,2,24
4898,10,2,24
6793,8,2,1
9014,5,2,2
34599,10,2,13
36862,10,2,1
20785,8,2,26
512,9,2,1
50010,8,2,12
50012,7,2,6
48483,9,2,12
2963,0,2,13
48590,8,2,13
164,10,2,1
38663,6,2,12
23755,8,2,24
35946,8,2,1
34577,8,2,24
31722,8,2,4
10165,9,2,15
19815,9,2,12
52611,7,2,12
30276,8,2,12
2966,10,2,13
6007,10,2,1
8769,8,2,12
10020,8,2,4
50461,7,2,12
853,9,2,26
40746,6,2,8
29803,9,2,13
35073,9,2,13
37675,9,2,13
48895,10,2,13
31138,6,2,8
37087,6,2,13
26243,7,2,12
48761,8,2,12
33255,10,2,120
34612,10,2,24
40542,10,2,6
38249,10,2,1
199,10,2,1
42351,8,2,12
34240,8,2,1
29786,7,2,12
30,8,2,26
28171,10,2,24
32282,10,2,13
37569,7,2,12
39575,9,2,12
48736,10,2,12
3588,8,2,51
50265,10,2,12
50594,10,2,1
11757,9,2,25
36475,8,2,12
21881,10,2,24
35790,10,2,25
40356,8,2,13
513,8,2,1
49891,8,2,12
37430,10,2,24
39551,10,2,12
41487,10,2,12
41488,10,2,12
40730,7,2,11
523,10,2,1
53446,7,2,12
37920,6,2,12
41392,7,2,12
39518,8,2,5
33352,10,2,13
39741,10,2,1
37987,10,2,1
37095,10,2,1
45556,8,2,10
40784,7,2,10
41094,7,2,15
37779,10,2,12
50346,8,2,13
10495,9,2,12
52046,7,2,13
50175,7,2,12
22199,9,3,9
39195,0,3,3
11061,10,3,85
37447,8,3,10
20,10,3,29
36474,10,3,20
1535,8,4,1
52034,0,6,0
55791,0,6,0
54041,0,6,0
31646,0,6,0
35180,0,6,0
36793,0,6,0
37956,0,6,0
39783,0,6,0
48548,0,6,0
54915,0,6,0
38735,0,6,0
40602,0,6,0
41457,0,6,0
48569,0,6,0
49520,0,6,0
34881,0,6,0
50429,0,6,0
31580,0,6,0
33253,0,6,0
30123,0,6,0
31173,0,6,0
25013,0,6,0
48553,0,6,0
34051,0,6,0
47,0,6,0
