anime_id,score,watching_status,watched_episodes
269,10,1,271
5114,10,1,57
3652,10,1,2
5781,0,1,0
5042,8,1,3
4382,0,1,8
3594,0,1,1
4066,0,1,15
857,8,2,25
4744,7,2,12
5112,7,2,12
591,7,2,12
886,7,2,12
4999,8,2,12
5342,6,2,13
2251,10,2,13
3901,9,2,3
57,10,2,26
68,7,2,23
889,10,2,12
1519,10,2,12
1686,10,2,1
2889,8,2,1
4835,10,2,1
834,8,2,1
1690,8,2,24
357,8,2,8
2131,8,2,4
4177,8,2,26
4975,8,2,12
2167,7,2,23
1575,10,2,25
2904,10,2,25
62,4,2,26
1482,8,2,103
61,8,2,26
1535,8,2,37
2924,1,2,12
226,9,2,13
1250,8,2,26
356,8,2,24
317,6,2,1
408,6,2,1
1361,6,2,1
71,10,2,24
73,10,2,13
1015,8,2,1
72,10,2,12
121,10,2,51
430,10,2,1
4725,9,2,12
384,8,2,13
395,8,2,13
1140,9,2,1
2494,7,2,12
133,7,2,12
651,7,2,1
2002,7,2,26
5630,0,2,11
6372,0,2,1
934,9,2,26
1889,10,2,24
248,7,2,7
940,8,2,26
2132,7,2,1
3958,9,2,13
3503,6,2,12
1530,7,2,24
1691,8,2,24
1606,8,2,52
2581,10,2,25
3927,10,2,25
93,10,2,50
1215,9,2,3
94,8,2,50
3229,7,2,13
146,7,2,12
412,6,2,12
4186,0,2,24
237,4,2,50
3358,7,2,12
3572,8,2,25
164,10,2,1
2926,7,2,13
1210,10,2,24
2966,10,2,13
6007,10,2,1
2112,8,2,26
2993,9,2,13
44,9,2,4
166,8,2,26
24,9,2,26
846,9,2,26
4015,9,2,2
167,8,2,24
290,8,2,13
398,8,2,2
355,8,2,24
2787,8,2,24
1559,8,2,50
90,6,2,49
30,6,2,26
849,10,2,14
1731,8,2,4
5734,6,2,12
2001,10,2,27
4705,9,2,8
174,7,2,24
448,6,2,2
4654,8,2,24
1555,7,2,25
4224,5,2,25
177,8,2,26
969,7,2,26
2685,8,2,3
856,8,2,26
180,7,2,13
181,7,2,13
202,7,2,26
1023,7,2,4
1543,7,2,12
1195,8,2,13
1840,8,2,12
3712,8,2,12
45,8,3,75
198,0,3,4
4884,0,3,7
3359,0,4,8
3166,4,4,2
2986,0,4,1
1536,0,4,8
59,0,4,3
60,5,4,8
4181,1,4,7
1818,5,4,9
2025,0,4,9
2795,1,4,2
4789,1,4,4
227,2,4,2
120,0,4,13
132,0,4,9
1571,1,4,6
241,0,4,5
257,0,4,3
143,0,4,2
1604,0,4,13
33,0,4,9
845,0,4,15
96,0,4,10
3653,0,4,1
97,5,4,12
3655,0,4,4
1722,6,4,6
2970,0,4,2
4214,0,4,4
2476,0,4,1
400,0,4,7
4063,0,4,1
2104,0,4,13
4581,0,4,4
2596,0,4,2
79,0,4,13
75,0,4,9
478,0,4,9
2158,1,4,13
3455,0,4,14
6,0,4,3
479,0,4,1
3457,0,4,7
4415,0,4,4
156,0,4,9
878,1,4,9
4901,0,6,0
6288,0,6,0
5341,0,6,0
5306,0,6,0
3593,0,6,0
