anime_id,score,watching_status,watched_episodes
39790,8,1,12
230,0,1,0
25013,0,1,0
32407,0,1,0
37520,0,1,0
3167,0,1,0
227,0,1,0
9314,0,1,0
9367,0,1,0
121,0,1,0
74,0,1,0
21431,0,1,0
39417,0,1,0
387,0,1,0
37259,8,1,13
54103,8,1,12
36296,0,1,0
12189,0,1,0
2169,0,1,0
38619,0,1,0
28387,0,1,0
143,0,1,0
21511,0,1,0
49828,10,1,0
52,0,1,0
16732,8,1,0
486,0,1,0
5079,0,1,0
97,0,1,0
33489,0,1,0
34599,0,1,0
98,0,1,0
99,0,1,0
1017,0,1,0
4209,0,1,0
2235,0,1,0
1696,0,1,0
39535,8,1,11
800,0,1,0
272,0,1,0
2966,0,1,0
19221,0,1,0
208,0,1,0
209,0,1,0
1601,0,1,0
25867,0,1,0
168,0,1,0
20709,0,1,0
12477,0,1,0
19365,0,1,0
20973,0,1,0
22273,0,1,0
355,0,1,0
35838,0,1,0
33433,0,1,0
879,0,1,0
6802,0,1,0
1602,0,1,0
3588,0,1,0
21507,0,1,0
29758,0,1,0
52736,10,1,0
19117,0,1,0
35589,0,1,0
37579,8,1,0
10294,0,1,0
10717,0,1,0
113,0,1,0
30385,0,1,0
32615,0,1,0
4548,0,1,0
18497,0,1,0
26165,0,1,0
4038,0,1,0
300,9,2,4
320,7,2,2
9776,9,2,12
11759,8,2,24
12291,8,2,12
30123,10,2,12
37561,9,2,12
19429,7,2,12
6547,9,2,13
9062,9,2,2
9989,10,2,11
11433,8,2,12
11111,7,2,12
30205,9,2,12
31754,9,2,1
6164,10,2,11
1554,9,2,12
40550,5,2,12
9736,7,2,12
109,9,2,24
2205,9,2,1
1214,10,2,10
13535,8,2,13
11633,9,2,10
150,10,2,50
10490,5,2,12
2964,10,2,13
31043,7,2,12
21405,9,2,12
5356,9,2,13
232,10,2,70
59,7,2,26
60,10,2,24
14741,8,2,12
34382,7,2,12
1818,7,2,26
1575,10,2,25
2564,9,2,12
8142,10,2,1
25731,5,2,25
1482,6,2,103
61,7,2,26
11843,10,2,12
1535,6,2,37
1629,10,2,26
39026,9,2,12
6746,6,2,24
2030,9,2,26
226,6,2,13
10087,7,2,13
120,7,2,26
33203,9,2,12
122,10,2,52
5114,7,2,64
37188,0,2,12
603,9,2,49
1929,7,2,47
4725,10,2,12
24765,9,2,12
19367,7,2,11
14131,8,2,12
17895,8,2,24
8425,9,2,24
10793,8,2,22
