anime_id,score,watching_status,watched_episodes
21,10,1,890
12815,0,1,0
5525,10,2,25
40679,8,2,12
31646,10,2,22
35180,10,2,22
36793,8,2,12
41457,9,2,11
48569,8,2,12
32998,7,2,12
42847,8,2,1
30123,8,2,12
31173,7,2,12
25013,10,2,24
30370,8,2,1
22729,9,2,12
27655,7,2,12
31588,8,2,25
32828,9,2,12
3359,0,2,13
49938,8,2,1
15085,0,2,12
6547,7,2,13
9989,0,2,11
24833,9,2,22
30654,9,2,25
33513,8,2,1
21995,10,2,12
24151,10,2,2
9919,10,2,25
51614,8,2,24
30205,9,2,12
10447,0,2,26
12967,0,2,12
28249,10,2,25
33254,9,2,2
30953,9,2,8
31821,10,2,8
31128,9,2,1
38464,9,2,1
37171,8,2,12
53428,8,2,12
32827,8,2,12
38824,9,2,1
28805,9,2,1
7674,8,2,25
10030,9,2,25
23369,8,2,1
12365,9,2,25
43756,9,2,12
36649,9,2,24
22789,10,2,12
32947,8,2,11
39195,7,2,12
40935,9,2,12
37498,8,2,1
32086,9,2,1
269,8,2,366
1686,8,2,1
2889,9,2,1
4835,8,2,1
8247,8,2,1
41467,9,2,13
53998,8,2,13
33985,7,2,12
49596,9,2,24
46352,8,2,12
31964,10,2,13
33486,10,2,25
36456,10,2,25
38408,9,2,25
41587,0,2,25
49918,10,2,25
36896,9,2,1
39565,9,2,1
42603,9,2,2
33929,7,2,1
35459,10,2,1
28755,10,2,1
11241,0,2,12
22433,10,2,12
6772,10,2,1
8514,10,2,1
9252,10,2,1
9465,10,2,1
9724,10,2,1
10092,10,2,1
15605,0,2,12
14345,0,2,12
50549,7,2,1
53411,8,2,12
31478,10,2,12
32867,9,2,12
38003,10,2,12
50330,10,2,13
54898,9,2,11
42250,8,2,12
34944,10,2,1
12293,0,2,13
5356,0,2,13
37435,10,2,24
44511,8,2,12
28999,9,2,13
32483,10,2,12
10800,10,2,25
14397,10,2,25
18745,0,2,1
37379,10,2,24
41105,10,2,1
39175,8,2,1
2167,0,2,23
1575,9,2,25
2904,8,2,25
11703,0,2,13
51680,9,2,24
22839,10,2,1
1482,10,2,103
32370,10,2,13
11843,9,2,12
35849,5,2,24
14353,10,2,1
1535,10,2,37
28223,8,2,12
43814,8,2,12
8086,0,2,24
16512,9,2,13
35120,7,2,10
17513,6,2,12
31710,6,2,12
21743,10,2,12
37520,10,2,24
38145,9,2,12
38691,10,2,24
48549,9,2,11
40852,10,2,11
39026,8,2,12
28121,9,2,13
37348,8,2,1
6746,10,2,24
27833,10,2,12
32915,10,2,1
23199,10,2,12
30191,10,2,1
27831,10,2,12
32608,6,2,24
38671,10,2,24
40956,10,2,24
6702,10,2,175
22043,10,2,102
12049,10,2,1
17535,10,2,1
9982,9,2,5
18393,10,2,1
35972,10,2,51
34662,9,2,25
34321,8,2,1
356,7,2,24
22297,10,2,12
28701,10,2,13
10087,8,2,13
11741,8,2,12
317,0,2,1
2952,9,2,1
18507,9,2,12
36704,10,2,12
38027,10,2,1
22265,10,2,13
26213,0,2,1
33845,9,2,1
37858,9,2,4
35191,9,2,1
35198,9,2,1
37860,10,2,4
38680,9,2,25
40417,10,2,25
49310,8,2,1
42938,10,2,13
41120,10,2,11
32696,10,2,13
37958,10,2,13
33203,8,2,12
71,9,2,24
73,9,2,13
121,8,2,0
5114,10,2,64
7902,0,2,16
430,0,2,0
9135,0,2,1
41025,8,2,20
49709,8,2,20
40488,8,2,12
33743,8,2,12
2890,7,2,1
32071,9,2,1
23289,10,2,12
918,10,2,201
7472,10,2,1
15335,10,2,1
9969,10,2,0
15417,10,2,0
34096,10,2,12
35843,9,2,13
36838,10,2,12
37491,10,2,14
6945,10,2,1
28977,10,2,51
39533,10,2,11
40421,8,2,1
49053,9,2,1
27631,9,2,13
33783,9,2,1
43692,8,2,5
17895,4,2,24
49345,9,2,1
37105,8,2,12
40052,9,2,23
10793,9,2,22
49691,8,2,13
28791,6,2,12
31859,8,2,12
20583,10,2,25
32935,10,2,10
29755,10,2,1
30364,10,2,1
35110,10,2,1
35111,10,2,1
40262,0,2,2
28891,10,2,25
38883,10,2,13
40776,10,2,12
15613,0,2,13
18055,0,2,13
6895,6,2,12
4551,7,2,12
16528,8,2,1
20689,9,2,0
5835,0,2,39
32648,10,2,12
37259,7,2,13
15809,0,2,13
37141,10,2,13
39586,8,2,8
31109,6,2,12
38816,8,2,1
49692,8,2,12
12461,0,2,13
14645,0,2,13
33204,9,2,1
42897,8,2,13
37972,9,2,12
10408,10,2,0
40230,9,2,12
431,10,2,1
12189,8,2,22
39725,7,2,12
20457,7,2,10
9041,0,2,12
36220,9,2,6
228,9,2,26
1594,9,2,26
