anime_id,score,watching_status,watched_episodes
66,0,1,9
48542,0,1,5
223,0,1,1
21521,0,1,1
1491,0,1,2
918,0,1,14
8425,0,1,4
31234,0,1,4
80,0,1,5
727,0,1,1
1887,0,1,8
41402,0,1,12
23755,0,1,7
21,0,1,144
52657,0,1,2
440,0,1,1
53393,0,1,2
37786,0,1,2
42959,0,1,3
51692,0,1,10
54112,0,1,9
31646,0,2,22
35180,0,2,22
34647,0,2,1
33993,1,2,1
41457,0,2,11
34881,6,2,12
22147,8,2,13
30206,7,2,1
30056,5,2,7
35015,7,2,12
37924,7,2,24
9989,0,2,11
11111,2,2,12
20365,6,2,1
11701,7,2,1
24833,0,2,22
30654,0,2,25
1051,6,2,4
9919,7,2,25
5081,10,2,4
36649,0,2,24
10218,0,2,1
12113,0,2,1
750,0,2,12
37498,5,2,1
889,8,2,12
8440,6,2,7
4901,8,2,5
1519,8,2,12
47917,0,2,12
1639,1,2,1
1689,9,2,3
40960,0,2,12
2981,0,2,1
34382,5,2,12
1575,8,2,25
2904,8,2,25
54005,0,2,1
1,9,2,26
5,9,2,1
4037,0,2,1
42310,10,2,10
26349,0,2,13
11843,0,2,12
12893,0,2,6
35849,6,2,24
15583,6,2,12
19163,6,2,10
22961,7,2,1
17641,6,2,1
51916,0,2,13
37520,0,2,24
38691,0,2,24
226,7,2,13
376,7,2,1
32901,6,2,12
36792,7,2,2
2759,8,2,1
3784,9,2,1
3785,7,2,1
5114,0,2,64
6421,0,2,4
53933,0,2,1
33731,7,2,12
34855,7,2,2
1281,0,2,19
30825,0,2,1
49605,0,2,12
14131,0,2,12
18617,0,2,1
32740,0,2,3
15811,0,2,6
18343,0,2,6
18619,0,2,1
33970,0,2,1
38081,0,2,1
16199,0,2,2
9646,0,2,2
43692,0,2,5
245,0,2,43
23251,0,2,12
10793,6,2,22
13411,0,2,1
21855,9,2,5
37517,7,2,12
270,0,2,13
777,0,2,10
11617,0,2,12
13357,0,2,6
934,8,2,26
2899,7,2,1
28825,0,2,12
10408,0,2,1
35557,0,2,12
11061,4,2,148
13271,0,2,1
19951,0,2,1
822,0,2,2
5228,0,2,1
15059,0,2,14
22507,0,2,4
185,0,2,15
18,0,2,24
186,0,2,13
187,0,2,1
42076,0,2,1
38790,0,2,12
48753,9,2,20
36956,4,2,1
1926,0,2,1
40748,0,2,24
37999,0,2,12
34933,7,2,12
37086,7,2,12
40221,0,2,13
38031,0,2,1
572,0,2,1
33,0,2,25
18679,5,2,24
21659,4,2,2
38000,8,2,26
32281,10,2,1
36098,0,2,1
37475,8,2,12
9260,9,2,1
31757,9,2,1
31758,9,2,1
33206,0,2,13
35363,0,2,1
35145,0,2,7
28851,10,2,1
30831,8,2,10
32937,7,2,10
34626,7,2,1
32380,7,2,1
38040,9,2,1
43,0,2,1
32268,9,2,12
49776,0,2,12
15005,0,2,20
48239,0,2,12
53013,0,2,1
9756,8,2,12
11981,8,2,1
32153,0,2,1
39196,0,2,23
51068,0,2,1
38958,8,2,1
33487,0,2,12
37377,0,2,1
41375,0,2,2
20033,0,2,13
30384,0,2,13
31560,0,2,13
24357,1,2,1
17074,10,2,26
15689,9,2,4
19613,0,2,1
28881,0,2,1
30952,0,2,1
8857,0,2,1
11597,8,2,11
20507,8,2,12
30503,8,2,13
30885,8,2,2
20767,7,2,2
46102,0,2,13
30276,7,2,12
35484,0,2,13
38555,0,2,12
42282,0,2,12
40834,0,2,23
29803,3,2,13
31181,10,2,12
35247,10,2,7
50324,0,2,1
437,9,2,1
49939,0,2,10
5391,1,2,1
4866,1,2,1
30240,8,2,12
32485,7,2,1
33569,5,2,14
33142,6,2,11
31240,8,2,25
36286,8,2,1
35905,3,2,12
15775,7,2,2
15771,7,2,1
32542,6,2,12
33524,0,2,1
43349,0,2,1
42351,0,2,12
41456,0,2,12
34240,8,2,1
16498,5,2,25
25777,1,2,12
35760,8,2,12
38524,6,2,10
30,8,2,26
32,9,2,1
35838,4,2,12
40586,0,2,12
50265,0,2,12
50602,0,2,13
48171,0,2,1
35726,1,2,1
11757,2,2,25
35790,8,2,25
40594,0,2,12
49891,0,2,12
37430,0,2,24
39551,0,2,12
39607,0,2,1
885,0,2,1
38034,1,2,4
9000,0,2,1
22319,6,2,12
27899,6,2,12
36511,3,2,12
41389,0,2,12
44931,0,2,1
28025,9,2,4
34902,0,2,12
32681,4,2,13
37521,0,2,24
33352,10,2,13
42166,0,2,2
37095,8,2,1
38708,0,2,1
16742,7,2,12
20449,6,2,1
48872,0,2,31
15313,0,2,12
37940,0,2,12
39960,0,2,12
34798,0,2,12
49838,0,2,1
36999,10,2,6
33042,0,2,1
32934,0,2,1
31245,0,2,1
1470,0,3,3
54042,0,3,13
263,0,3,35
14719,0,3,1
10165,0,3,4
43814,0,4,6
71,0,4,1
37349,0,4,8
967,0,4,22
5030,0,4,2
45,0,4,1
37799,0,4,7
36793,0,6,0
38101,0,6,0
48569,0,6,0
49235,0,6,0
320,0,6,0
25397,0,6,0
11759,0,6,0
12291,0,6,0
311,0,6,0
1292,0,6,0
48553,0,6,0
8577,0,6,0
36864,0,6,0
2225,0,6,0
32828,0,6,0
8676,0,6,0
24531,0,6,0
6547,0,6,0
39959,0,6,0
31080,0,6,0
15039,0,6,0
36214,0,6,0
2402,0,6,0
37171,0,6,0
6166,0,6,0
38328,0,6,0
6347,0,6,0
24641,0,6,0
34636,0,6,0
67,0,6,0
9513,0,6,0
37716,0,6,0
12115,0,6,0
368,0,6,0
13535,0,6,0
34572,0,6,0
1520,0,6,0
2213,0,6,0
34618,0,6,0
11633,0,6,0
1050,0,6,0
55357,0,6,0
35712,0,6,0
40904,0,6,0
38186,0,6,0
40004,0,6,0
1347,0,6,0
53411,0,6,0
5356,0,6,0
10012,0,6,0
12187,0,6,0
37435,0,6,0
44511,0,6,0
28999,0,6,0
31553,0,6,0
30485,0,6,0
11457,0,6,0
2447,0,6,0
10800,0,6,0
16157,0,6,0
14741,0,6,0
34257,0,6,0
2167,0,6,0
4181,0,6,0
1818,0,6,0
34437,0,6,0
35756,0,6,0
37823,0,6,0
15109,0,6,0
31636,0,6,0
12549,0,6,0
30127,0,6,0
2025,0,6,0
36633,0,6,0
24655,0,6,0
33988,0,6,0
24031,0,6,0
424,0,6,0
37982,0,6,0
38668,0,6,0
38145,0,6,0
2222,0,6,0
3135,0,6,0
4003,0,6,0
31339,0,6,0
39026,0,6,0
28121,0,6,0
37033,0,6,0
38062,0,6,0
34662,0,6,0
33047,0,6,0
37651,0,6,0
34321,0,6,0
36915,0,6,0
38085,0,6,0
38086,0,6,0
38084,0,6,0
14829,0,6,0
27525,0,6,0
20509,0,6,0
31706,0,6,0
34100,0,6,0
36833,0,6,0
38897,0,6,0
12565,0,6,0
356,0,6,0
25537,0,6,0
33049,0,6,0
33050,0,6,0
6922,0,6,0
7559,0,6,0
22297,0,6,0
28701,0,6,0
31389,0,6,0
27821,0,6,0
55830,0,6,0
10087,0,6,0
11741,0,6,0
19165,0,6,0
13263,0,6,0
120,0,6,0
38680,0,6,0
121,0,6,0
33743,0,6,0
39042,0,6,0
24765,0,6,0
25183,0,6,0
239,0,6,0
17491,0,6,0
28907,0,6,0
31637,0,6,0
23289,0,6,0
3488,0,6,0
5155,0,6,0
34213,0,6,0
32607,0,6,0
820,0,6,0
589,0,6,0
14811,0,6,0
21273,0,6,0
29787,0,6,0
10258,0,6,0
48707,0,6,0
268,0,6,0
37105,0,6,0
17729,0,6,0
29095,0,6,0
35868,0,6,0
1706,0,6,0
134,0,6,0
16,0,6,0
387,0,6,0
34403,0,6,0
9289,0,6,0
37259,0,6,0
39030,0,6,0
15809,0,6,0
42625,0,6,0
7728,0,6,0
11077,0,6,0
15225,0,6,0
5060,0,6,0
38476,0,6,0
1852,0,6,0
8630,0,6,0
40938,0,6,0
41006,0,6,0
1889,0,6,0
6064,0,6,0
16700,0,6,0
10491,0,6,0
3652,0,6,0
48488,0,6,0
3992,0,6,0
36945,0,6,0
30991,0,6,0
35376,0,6,0
33948,0,6,0
37614,0,6,0
36051,0,6,0
40398,0,6,0
1356,0,6,0
42897,0,6,0
256,0,6,0
578,0,6,0
33153,0,6,0
12189,0,6,0
488,0,6,0
42361,0,6,0
21513,0,6,0
35413,0,6,0
16774,0,6,0
40922,0,6,0
17831,0,6,0
11013,0,6,0
22123,0,6,0
4057,0,6,0
37497,0,6,0
9041,0,6,0
38472,0,6,0
52367,0,6,0
40010,0,6,0
21327,0,6,0
36906,0,6,0
39049,0,6,0
39534,0,6,0
34966,0,6,0
53621,0,6,0
23121,0,6,0
29785,0,6,0
20899,0,6,0
12413,0,6,0
40787,0,6,0
38619,0,6,0
12679,0,6,0
47250,0,6,0
617,0,6,0
635,0,6,0
14467,0,6,0
15391,0,6,0
40591,0,6,0
7054,0,6,0
38939,0,6,0
50339,0,6,0
40716,0,6,0
52635,0,6,0
38779,0,6,0
489,0,6,0
3220,0,6,0
32491,0,6,0
7411,0,6,0
40839,0,6,0
3503,0,6,0
38620,0,6,0
2593,0,6,0
35860,0,6,0
1658,0,6,0
6594,0,6,0
45613,0,6,0
39326,0,6,0
39112,0,6,0
6205,0,6,0
32686,0,6,0
40908,0,6,0
11079,0,6,0
40456,0,6,0
6045,0,6,0
38594,0,6,0
50796,0,6,0
16732,0,6,0
22535,0,6,0
5042,0,6,0
7593,0,6,0
3323,0,6,0
5678,0,6,0
39247,0,6,0
2403,0,6,0
35566,0,6,0
34934,0,6,0
34984,0,6,0
48643,0,6,0
15843,0,6,0
39388,0,6,0
31091,0,6,0
38080,0,6,0
51958,0,6,0
49458,0,6,0
34620,0,6,0
35241,0,6,0
8841,0,6,0
44516,0,6,0
49909,0,6,0
15379,0,6,0
34712,0,6,0
5079,0,6,0
32949,0,6,0
39017,0,6,0
36689,0,6,0
251,0,6,0
19703,0,6,0
32083,0,6,0
1412,0,6,0
17247,0,6,0
1088,0,6,0
518,0,6,0
36266,0,6,0
37979,0,6,0
20785,0,6,0
35062,0,6,0
23945,0,6,0
40571,0,6,0
6590,0,6,0
9936,0,6,0
31537,0,6,0
40496,0,6,0
14833,0,6,0
9712,0,6,0
42590,0,6,0
52211,0,6,0
31845,0,6,0
39392,0,6,0
41812,0,6,0
42340,0,6,0
50695,0,6,0
16189,0,6,0
38778,0,6,0
330,0,6,0
48483,0,6,0
10620,0,6,0
38935,0,6,0
35078,0,6,0
7627,0,6,0
164,0,6,0
19,0,6,0
30307,0,6,0
38030,0,6,0
39806,0,6,0
40483,0,6,0
457,0,6,0
39535,0,6,0
1722,0,6,0
16067,0,6,0
37926,0,6,0
29808,0,6,0
38397,0,6,0
4081,0,6,0
12467,0,6,0
31777,0,6,4
31404,0,6,0
31953,0,6,0
1210,0,6,0
51105,0,6,0
17549,0,6,0
17157,0,6,0
17867,0,6,0
34492,0,6,0
34148,0,6,0
10197,0,6,0
470,0,6,0
6324,0,6,0
34134,0,6,0
34392,0,6,0
20931,0,6,0
6893,0,6,0
2966,0,6,0
25099,0,6,0
36632,0,6,0
8769,0,6,0
13659,0,6,0
14749,0,6,0
38483,0,6,0
24705,0,6,0
9922,0,6,0
1060,0,6,0
32013,0,6,0
9883,0,6,0
31174,0,6,0
49842,0,6,0
853,0,6,0
19369,0,6,0
40746,0,6,0
26243,0,6,0
8795,0,6,0
1943,0,6,0
42627,0,6,0
16397,0,6,0
22135,0,6,0
27775,0,6,0
39292,0,6,0
13601,0,6,0
4069,0,6,0
6609,0,6,0
10810,0,6,0
48235,0,6,0
11859,0,6,0
25345,0,6,0
30543,0,6,0
38414,0,6,0
41590,0,6,0
39587,0,6,0
14627,0,6,0
11491,0,6,0
18099,0,6,0
24935,0,6,0
13377,0,6,0
30015,0,6,0
32262,0,6,0
22865,0,6,0
2000,0,6,0
44807,0,6,0
