anime_id,score,watching_status,watched_episodes
918,0,1,27
21881,0,1,16
9874,7,1,1
6682,6,2,12
320,7,2,2
47,9,2,1
22729,6,2,12
27655,6,2,12
6547,7,2,13
3080,8,2,1
1051,8,2,4
54,5,2,1
586,6,2,11
66,10,2,26
659,7,2,1
1593,7,2,1
2251,9,2,13
3901,8,2,3
5081,9,2,15
8092,7,2,1
2986,8,2,26
67,9,2,24
57,7,2,26
10218,5,2,1
368,6,2,6
889,10,2,12
8440,2,2,7
4901,6,2,5
1519,10,2,12
7059,6,2,1
11285,6,2,8
1055,0,2,6
3429,0,2,1
405,3,2,1
357,7,2,8
369,9,2,12
1689,7,2,3
5356,7,2,13
59,7,2,26
14741,7,2,12
15879,6,2,7
16934,6,2,1
15687,6,2,6
18671,7,2,12
2167,9,2,23
4181,10,2,24
6351,8,2,1
4059,9,2,1
1575,8,2,25
1953,7,2,9
2904,8,2,25
1,10,2,26
5,8,2,1
2025,8,2,25
4182,8,2,1
6573,7,2,11
1535,6,2,37
5177,7,2,2
3702,8,2,12
5065,8,2,1
6746,8,2,24
8408,8,2,2
226,5,2,13
376,4,2,1
790,10,2,23
2759,9,2,1
3784,9,2,1
3785,6,2,1
3167,7,2,6
356,8,2,24
6922,8,2,1
7559,5,2,2
10087,7,2,13
11741,9,2,12
317,7,2,1
2952,8,2,1
408,5,2,1
6151,5,2,1
5178,4,2,1
227,10,2,6
71,8,2,24
73,8,2,13
1015,7,2,1
72,7,2,12
121,9,2,51
5114,10,2,64
430,6,2,1
240,10,2,12
2508,10,2,12
1813,8,2,3
4872,8,2,3
268,9,2,6
245,9,2,43
267,9,2,26
387,9,2,13
270,9,2,13
379,9,2,26
934,9,2,26
1889,9,2,24
3652,7,2,5
570,9,2,1
14719,9,2,26
12413,6,2,12
5680,5,2,13
1530,9,2,24
2593,8,2,1
3782,9,2,1
3783,9,2,1
4280,9,2,1
4282,9,2,1
5204,8,2,1
5205,9,2,1
6954,7,2,1
6624,8,2,1
10191,9,2,6
572,9,2,1
33,9,2,25
80,7,2,43
82,8,2,6
84,9,2,13
4232,8,2,3
1917,7,2,3
1916,6,2,3
81,8,2,12
85,8,2,50
486,10,2,13
2175,9,2,1
1379,9,2,1
3466,10,2,1
2403,6,2,12
580,7,2,10
43,9,2,1
467,6,2,26
237,9,2,50
4246,7,2,1
669,6,2,3
1591,5,2,12
433,8,2,1
97,8,2,26
10336,8,2,21
1887,10,2,24
4472,8,2,1
1088,7,2,36
474,9,2,4
194,6,2,5
1089,5,2,1
9756,6,2,12
13239,5,2,1
221,7,2,2
2963,8,2,13
5713,6,2,1
5162,7,2,13
3225,7,2,13
2246,10,2,12
164,9,2,1
19,8,2,74
1941,8,2,12
2929,9,2,14
323,9,2,13
457,10,2,26
2279,7,2,1
1210,10,2,24
800,8,2,13
11597,9,2,11
5957,8,2,13
2966,8,2,13
5341,8,2,12
8769,7,2,12
785,8,2,2
1943,9,2,1
437,8,2,1
10588,7,2,25
13587,6,2,1
5682,9,2,26
329,9,2,26
13601,9,2,22
6114,8,2,26
25345,8,2,4
5259,7,2,2
6675,10,2,1
2993,8,2,13
4214,8,2,13
64,7,2,12
65,6,2,12
205,10,2,26
2605,10,2,12
400,8,2,26
199,9,2,1
1080,9,2,5
339,10,2,13
355,7,2,24
2787,7,2,24
2216,9,2,12
7724,8,2,22
10083,8,2,2
16498,9,2,25
169,4,2,12
30,8,2,26
32,6,2,1
1913,7,2,5
6802,7,2,12
8197,6,2,2
3588,8,2,51
9253,7,2,24
25,8,2,24
7311,10,2,1
849,10,2,14
4382,8,2,14
5118,8,2,25
11757,7,2,25
2001,10,2,27
26,10,2,22
1303,8,2,9
3089,9,2,1
6505,9,2,5
6213,7,2,24
4654,7,2,24
8937,7,2,24
2236,10,2,1
523,9,2,1
1002,8,2,6
949,5,2,6
4224,7,2,25
6,8,2,26
4106,7,2,1
12317,6,2,10
3737,7,2,13
3738,7,2,13
5397,7,2,13
10513,7,2,13
16742,8,2,12
6377,9,2,13
7044,9,2,2
23283,9,2,11
3228,10,2,13
6421,8,3,3
777,0,3,9
12189,0,3,11
1397,0,3,4
45,0,3,2
202,0,3,3
7902,6,4,4
6500,1,4,1
3956,6,4,2
12291,0,6,0
101,0,6,0
282,0,6,0
11111,0,6,0
9919,0,6,0
7647,0,6,0
8475,0,6,0
9513,0,6,0
3407,0,6,0
269,0,6,0
150,0,6,0
4177,0,6,0
7338,0,6,0
2164,0,6,0
1726,0,6,0
12471,0,6,0
9135,0,6,0
384,0,6,0
18465,0,6,0
19159,0,6,0
385,0,6,0
820,0,6,0
4039,0,6,0
10793,0,6,0
134,0,6,0
2026,0,6,0
5060,0,6,0
967,0,6,0
488,0,6,0
257,0,6,0
20899,0,6,0
617,0,6,0
14807,0,6,0
6594,0,6,0
12991,0,6,0
516,0,6,0
6336,0,6,0
86,0,6,0
87,0,6,0
9260,0,6,0
13731,0,6,0
4898,0,6,0
3572,0,6,0
5030,0,6,0
222,0,6,0
10620,0,6,0
17074,0,6,0
3001,0,6,0
6946,0,6,0
21939,0,6,0
24687,0,6,0
21329,0,6,0
877,0,6,0
838,0,6,0
6030,0,6,0
15689,0,6,0
10165,0,6,0
19815,0,6,0
10161,0,6,0
272,0,6,0
6512,0,6,0
490,0,6,0
8795,0,6,0
14407,0,6,0
23281,0,6,0
15775,0,6,0
15771,0,6,0
2476,0,6,0
24,0,6,0
5355,0,6,0
6773,0,6,0
6572,0,6,0
5220,0,6,0
4581,0,6,0
3786,0,6,0
25777,0,6,0
13125,0,6,0
79,0,6,0
19775,0,6,0
534,0,6,0
20057,0,6,0
420,0,6,0
11577,0,6,0
3667,0,6,0
4107,0,6,0
4565,0,6,0
12431,0,6,0
12029,0,6,0
4896,0,6,0
20449,0,6,0
548,0,6,0
861,0,6,0
