anime_id,score,watching_status,watched_episodes
34572,9,1,2
12189,0,1,7
34542,0,1,4
35639,0,1,1
35076,6,1,1
34712,0,1,1
35062,0,1,1
235,10,1,850
21,9,1,420
35484,0,1,1
36027,0,1,1
36949,0,1,1
28735,0,1,0
33478,0,1,6
31646,9,2,22
32998,9,2,12
857,7,2,25
22199,9,2,24
25013,9,2,24
11235,7,2,13
22147,6,2,13
6547,10,2,13
9989,8,2,11
24833,10,2,22
30654,9,2,25
21995,8,2,12
21185,8,2,25
27663,8,2,25
2251,8,2,13
5081,9,2,15
7674,8,2,25
10030,9,2,25
12365,10,2,25
288,7,2,51
1669,7,2,51
22789,9,2,12
31904,4,2,10
20787,6,2,13
269,9,2,366
1686,5,2,1
2889,6,2,1
4835,6,2,1
8247,7,2,1
31043,9,2,12
31964,8,2,13
10719,7,2,12
21405,8,2,12
14345,8,2,12
31478,8,2,12
32867,8,2,12
33475,7,2,12
12293,6,2,13
28999,10,2,13
33771,7,2,12
2167,9,2,23
4181,10,2,24
1575,10,2,25
1,8,2,26
34103,7,2,1
32189,7,2,12
33028,7,2,11
16592,8,2,13
15583,9,2,12
19163,7,2,10
24655,6,2,1
32494,8,2,24
1535,10,2,37
28223,8,2,12
8086,8,2,24
552,8,2,54
1313,6,2,50
1132,6,2,50
859,7,2,48
874,7,2,51
223,9,2,153
6033,7,2,97
813,9,2,291
28121,9,2,13
32901,6,2,12
6702,9,2,175
22043,9,2,102
12049,7,2,1
17535,7,2,1
356,9,2,24
22297,9,2,12
28701,8,2,13
10087,9,2,13
11741,9,2,12
5114,10,2,64
33743,8,2,12
30544,7,2,12
31737,7,2,12
34280,7,2,12
23289,9,2,12
17895,8,2,24
8425,7,2,24
31629,6,2,13
17729,7,2,13
29095,7,2,10
10793,8,2,22
20583,10,2,25
32935,8,2,10
28891,10,2,25
11785,5,2,12
34403,7,2,10
15809,8,2,13
2026,7,2,52
14653,6,2,12
4192,7,2,25
11617,7,2,12
24703,7,2,12
32215,7,2,1
15451,7,2,12
12729,7,2,2
8074,5,2,12
10079,6,2,12
31338,4,2,12
11061,9,2,148
7088,6,2,12
5231,7,2,127
10507,5,2,47
15785,6,2,1
13261,5,2,51
18097,4,2,43
24347,4,2,1
9032,6,2,1
9041,6,2,12
