anime_id,score,watching_status,watched_episodes
7669,7,2,1
8481,6,2,3
6408,6,2,1
5525,7,2,25
31646,8,2,22
32998,8,2,12
34777,7,2,1
33337,8,2,12
39610,8,2,1
30123,7,2,12
31173,7,2,12
31483,6,2,1
283,7,2,50
34350,6,2,12
32828,8,2,12
24833,7,2,22
30654,8,2,25
9919,7,2,25
11737,7,2,1
30205,6,2,12
31754,6,2,1
2251,6,2,13
3901,7,2,3
22789,7,2,12
530,6,2,46
740,6,2,43
531,6,2,1
532,6,2,38
997,6,2,1
1239,6,2,39
996,7,2,34
68,8,2,23
269,7,2,366
34618,6,2,12
31043,9,2,12
3389,9,2,3
232,7,2,70
371,7,2,1
372,7,2,1
33354,7,2,22
35320,7,2,1
2768,8,2,1
51680,7,2,24
10029,9,2,1
61,8,2,26
10259,8,2,1
2025,9,2,25
4182,7,2,1
7338,8,2,4
6573,7,2,12
48779,8,2,12
28223,8,2,12
5593,8,2,4
30346,9,2,1
6746,8,2,24
8408,8,2,2
27833,8,2,12
23199,8,2,12
27831,8,2,12
345,8,2,12
2035,8,2,12
356,7,2,24
6922,6,2,1
10087,4,2,13
11741,4,2,12
18507,8,2,12
22265,7,2,13
26213,6,2,1
33222,5,2,12
41120,7,2,11
122,7,2,52
121,8,2,51
908,8,2,3
430,7,2,1
32948,8,2,11
1251,8,2,39
850,7,2,13
1829,7,2,1
23289,8,2,12
39533,7,2,11
242,8,2,13
243,6,2,13
16,7,2,24
644,5,2,2
20583,7,2,25
32935,8,2,10
25303,7,2,1
40262,8,2,2
28891,8,2,25
38883,8,2,13
40776,8,2,12
35806,7,2,1
36094,7,2,12
16528,8,2,1
27969,7,2,1
9289,7,2,26
14175,6,2,1
32648,7,2,12
15809,6,2,13
270,9,2,13
777,6,2,10
5630,8,2,11
33654,7,2,12
8768,7,2,1
33241,8,2,10
20431,8,2,13
24471,8,2,3
9760,5,2,1
10408,9,2,1
8426,7,2,11
431,9,2,1
3210,7,2,2
21327,7,2,12
3731,7,2,25
36220,6,2,6
3092,8,2,12
4814,8,2,12
25649,8,2,12
13767,6,2,2
6553,6,2,1
14467,9,2,13
16904,7,2,1
27991,7,2,13
33248,7,2,1
16664,7,2,1
7054,6,2,26
3010,7,2,52
142,7,2,44
14713,7,2,13
30709,7,2,4
33323,8,2,1
25681,7,2,12
32491,8,2,4
7711,8,2,1
16035,8,2,13
1691,8,2,24
16662,8,2,1
736,0,2,1
1606,8,2,52
6045,9,2,25
9656,8,2,12
35079,8,2,12
3375,7,2,2
5678,6,2,24
28851,10,2,1
34984,6,2,12
8634,6,2,2
28725,6,2,1
15227,8,2,1
16782,7,2,1
50590,8,2,13
433,2,2,1
8129,8,2,11
9754,6,2,4
10391,6,2,6
11771,8,2,25
16894,8,2,25
24415,5,2,25
19669,8,2,1
16916,7,2,1
4898,8,2,24
22145,8,2,10
23317,9,2,2
17265,7,2,25
23321,7,2,25
38959,7,2,13
38936,7,2,1
21105,7,2,10
2034,8,2,24
32902,8,2,3
512,7,2,1
585,7,2,1
10389,8,2,1
164,9,2,1
457,8,2,26
21939,8,2,10
24701,7,2,10
24687,7,2,1
28957,7,2,1
21329,8,2,1
3655,8,2,26
20,8,2,220
442,7,2,1
936,3,2,1
2144,10,2,1
4134,10,2,1
2472,5,2,1
4437,7,2,1
4081,10,2,13
32983,10,2,11
34534,10,2,2
36538,8,2,1
34591,10,2,11
36275,9,2,2
10379,10,2,13
11665,10,2,13
42894,8,2,1
20651,9,2,1
13585,5,2,11
10161,8,2,11
1698,8,2,23
5690,7,2,11
8190,8,2,1
8038,7,2,1
3965,7,2,1
4477,7,2,11
20507,8,2,12
30503,9,2,13
20767,5,2,2
21557,8,2,1
1029,7,2,1
12355,4,2,1
23673,6,2,12
32729,7,2,13
853,10,2,26
29803,6,2,13
746,7,2,2
2594,5,2,1
31559,7,2,12
6114,9,2,26
14921,6,2,12
2369,6,2,24
5984,6,2,11
36513,8,2,12
32397,7,2,2
12531,8,2,12
32542,7,2,12
34494,7,2,25
13759,7,2,24
30187,7,2,12
419,6,2,26
2476,1,2,12
5774,7,2,2
4021,6,2,12
9926,8,2,12
11123,8,2,12
20371,7,2,1
8063,6,2,2
40314,0,2,1
20815,7,2,1
6973,8,2,13
8800,7,2,3
154,8,2,64
23273,6,2,22
16498,8,2,25
18397,7,2,3
25777,7,2,12
25781,8,2,2
425,10,2,2
12815,8,2,50
20057,7,2,13
23327,7,2,13
3470,6,2,24
28621,8,2,11
33036,6,2,1
14289,7,2,13
16868,7,2,1
5681,8,2,1
31680,7,2,10
11757,5,2,25
36470,6,2,13
21647,8,2,1
16417,7,2,12
32093,7,2,12
22,7,2,178
815,7,2,1
5751,7,2,4
6999,6,2,2
814,7,2,1
1190,7,2,1
6749,8,2,1
995,7,2,13
4053,7,2,7
2752,7,2,6
12695,6,2,2
2236,7,2,1
523,6,2,1
3859,8,2,26
3613,9,2,12
11001,8,2,1
5332,7,2,1
177,8,2,26
969,8,2,26
807,6,2,1
4938,7,2,2
2685,8,2,3
36653,8,2,13
38921,6,2,1
52826,7,2,13
34498,0,2,1
32673,7,2,12
10162,8,2,11
10321,6,2,13
3457,4,2,13
4752,4,2,13
338,6,2,40
33352,8,2,13
37095,7,2,1
30437,6,2,12
35968,8,2,11
861,8,2,24
793,8,2,1
6864,7,2,2
4918,8,2,2
3091,8,2,13
1562,9,2,25
22249,8,2,1
32995,9,2,12
40911,8,2,11
49733,8,2,2
43325,8,2,13
23283,8,2,11
5300,10,2,13
31245,7,2,1
12967,0,4,6
38860,1,4,1
32947,4,4,2
1222,5,4,18
32483,0,4,1
1482,6,4,55
37597,0,4,3
1535,1,4,0
5177,3,4,1
34543,4,4,2
15,8,4,23
22297,0,4,7
31376,5,4,1
32696,0,4,1
5114,7,4,11
132,7,4,5
245,0,4,1
135,0,4,5
12189,5,4,5
228,5,4,11
489,5,4,3
10460,4,4,1
31804,4,4,7
6707,4,4,3
32949,4,4,1
251,0,4,52
32438,2,4,0
2963,5,4,1
2931,0,4,2
1735,5,4,127
2159,6,4,7
5530,6,4,3
22359,4,4,2
2605,1,4,2
18119,6,4,5
169,2,4,3
8726,4,4,3
3588,6,4,8
9253,6,4,1
2965,5,4,4
407,6,4,21
12883,6,4,5
32899,5,4,1
6956,3,4,2
156,5,4,9
35180,0,6,0
33506,0,6,0
55310,0,6,0
43756,0,6,0
53407,0,6,0
54916,0,6,0
40421,0,6,0
54791,0,6,0
49053,0,6,0
52742,0,6,0
35075,0,6,0
37029,0,6,0
42897,0,6,0
53879,0,6,0
56538,0,6,0
52173,0,6,0
31812,0,6,0
55855,0,6,0
54492,0,6,0
39017,0,6,0
41109,0,6,0
49361,0,6,0
35062,0,6,0
55823,0,6,0
54724,0,6,0
30885,0,6,0
52865,0,6,0
42205,0,6,0
52991,0,6,0
50265,0,6,0
41132,0,6,0
49766,0,6,0
39741,0,6,0
37987,0,6,0
55866,0,6,0
55153,0,6,0
