anime_id,score,watching_status,watched_episodes
52034,9,1,1
49520,0,1,0
48553,0,1,0
40507,0,1,0
2251,0,1,0
5081,0,1,0
41467,0,1,0
49596,0,1,0
49918,0,1,0
40904,0,1,0
53411,0,1,0
49709,8,1,0
48413,0,1,0
38476,0,1,0
49154,0,1,0
49220,8,1,0
48316,0,1,0
50160,0,1,0
51815,0,1,0
49776,0,1,0
50709,0,1,0
42340,8,1,0
31181,0,1,0
54772,0,1,0
48414,0,1,0
12477,0,1,0
49413,9,1,0
51535,0,1,2
48583,10,1,0
47162,0,1,0
48849,9,1,0
50265,9,1,0
50602,0,1,0
52736,0,1,0
50346,0,1,0
53632,0,1,0
38474,8,1,0
36793,6,2,12
37956,7,2,12
41457,8,2,11
48569,9,2,12
32998,8,2,12
25397,5,2,12
22199,5,2,24
25013,8,2,24
41433,7,2,12
6547,7,2,13
9989,9,2,11
11111,9,2,12
24833,9,2,22
30654,9,2,25
49052,7,2,24
9919,7,2,25
36882,4,2,13
50205,8,2,8
38572,2,2,12
39195,7,2,12
40935,7,2,12
20787,6,2,13
34572,8,2,170
46352,7,2,12
31043,7,2,12
31964,8,2,13
33486,9,2,25
36456,9,2,25
38408,8,2,25
41587,7,2,25
36896,7,2,1
39565,6,2,1
10719,6,2,12
14967,5,2,12
44511,9,2,12
28999,6,2,13
14741,8,2,12
18671,7,2,12
1575,8,2,25
2904,7,2,25
42310,9,2,10
44406,8,2,12
35849,9,2,24
34497,4,2,12
1535,8,2,37
28223,9,2,12
40056,8,2,12
37520,9,2,24
38145,8,2,12
38691,9,2,24
50612,9,2,1
40852,10,2,11
31339,8,2,12
28121,6,2,13
32887,4,2,12
37347,4,2,12
37348,5,2,1
6746,10,2,24
27833,9,2,12
23199,9,2,12
27831,8,2,12
38671,8,2,24
40956,7,2,24
32901,4,2,12
10087,8,2,13
5114,10,2,64
41025,9,2,20
48760,7,2,12
30544,6,2,12
31737,5,2,12
34280,6,2,12
28907,6,2,12
37349,8,2,12
39576,6,2,1
40052,10,2,23
10793,6,2,22
31859,9,2,12
38883,7,2,13
40776,8,2,12
15809,9,2,13
49692,8,2,12
40938,5,2,13
41006,0,2,24
36296,8,2,12
42897,8,2,13
10408,8,2,1
31338,4,2,12
42361,7,2,12
37497,8,2,13
35203,3,2,12
40748,7,2,24
48561,8,2,1
40221,8,2,13
8525,7,2,12
10080,7,2,12
16706,8,2,12
40839,7,2,12
24439,9,2,12
34451,9,2,12
38000,8,2,26
40456,9,2,1
47778,8,2,11
32281,9,2,1
31798,8,2,12
28851,10,2,1
41103,6,2,12
11887,9,2,13
48926,8,2,12
32937,9,2,10
32380,9,2,1
38040,9,2,1
28623,6,2,12
33519,6,2,1
33520,6,2,1
34544,6,2,1
18153,8,2,12
25015,9,2,1
28675,9,2,1
33489,8,2,25
17265,9,2,25
23321,8,2,25
41109,0,2,12
24455,7,2,13
34599,9,2,13
31741,8,2,13
33487,7,2,12
37377,7,2,1
48483,9,2,12
32182,10,2,12
37510,10,2,13
50172,10,2,12
39651,9,2,1
36616,0,2,1
31442,5,2,13
39535,8,2,11
45576,9,2,12
23755,8,2,24
34577,8,2,24
20,7,2,220
1735,7,2,500
18897,5,2,20
27787,5,2,12
19815,7,2,12
33674,8,2,1
20507,9,2,12
30503,9,2,13
30885,7,2,2
53149,9,2,8
30276,9,2,12
34134,7,2,12
14749,5,2,13
26243,6,2,12
28927,7,2,12
13601,9,2,22
34561,9,2,22
31240,9,2,25
38414,8,2,1
36286,7,2,1
39921,8,2,1
39587,9,2,13
42203,9,2,12
28497,5,2,12
32951,5,2,12
40392,7,2,12
33255,8,2,120
34612,9,2,24
38249,8,2,1
13759,9,2,24
11499,8,2,12
35851,9,2,1
37450,10,2,13
38329,9,2,1
44074,10,2,11
16498,8,2,25
25777,9,2,12
35760,9,2,12
38524,9,2,10
40028,9,2,16
28171,8,2,24
40902,8,2,13
32282,8,2,13
35788,8,2,12
36949,7,2,12
39940,8,2,12
42923,8,2,12
48736,7,2,12
9253,10,2,24
47194,9,2,25
11757,6,2,25
36475,7,2,12
21881,7,2,24
31765,8,2,1
36474,7,2,24
39597,5,2,12
36470,7,2,13
48556,8,2,12
32093,7,2,12
35790,8,2,25
40356,6,2,13
37430,7,2,24
39551,7,2,12
41487,7,2,12
41353,5,2,13
4654,5,2,24
8937,7,2,24
36432,6,2,26
22319,9,2,12
27899,7,2,12
36511,5,2,12
16011,8,2,24
42249,8,2,24
50273,7,2,12
4224,8,2,25
34902,7,2,12
48580,8,2,12
49114,9,2,12
46095,9,2,13
43299,9,2,12
35968,7,2,11
14813,10,2,13
39547,10,2,12
23847,9,2,13
37779,10,2,12
39617,4,2,11
39710,8,2,12
35507,8,2,12
51096,8,2,13
34798,8,2,12
23283,8,2,11
21995,0,3,0
33506,7,3,0
31637,6,3,0
12189,8,3,0
37744,4,3,0
38790,6,3,0
37999,8,3,0
52178,6,3,12
6045,0,3,0
10620,5,3,0
23281,8,3,11
13125,8,3,0
39575,6,3,0
35839,8,3,0
30484,7,3,0
2001,8,3,0
38481,7,3,0
37799,6,3,12
39324,6,3,12
37521,8,3,0
2167,0,4,0
38656,4,4,0
40454,4,4,12
11061,4,4,3
40046,6,4,0
38909,1,4,1
7791,0,4,0
40591,7,4,0
36407,3,4,0
18679,0,4,0
39388,0,4,0
39017,5,4,0
14513,0,4,0
38256,0,4,1
29803,7,4,9
23309,5,4,0
30296,4,4,12
33836,4,4,0
32105,6,4,0
40540,4,4,0
46471,6,4,0
35180,0,6,0
15039,9,6,0
11737,9,6,0
40550,0,6,0
51898,0,6,0
41194,0,6,0
41461,0,6,0
48549,0,6,0
52701,0,6,0
51818,0,6,0
38680,0,6,0
40417,0,6,0
39533,0,6,0
39463,0,6,0
47160,0,6,0
32561,9,6,0
41061,0,6,0
41514,0,6,0
46569,0,6,0
52588,0,6,0
34933,0,6,0
52635,0,6,0
42963,0,6,0
51019,0,6,0
36098,0,6,0
50631,0,6,0
51958,0,6,0
49458,0,6,0
37514,0,6,0
37515,0,6,0
36862,0,6,0
41084,0,6,0
40497,0,6,0
52211,0,6,0
50695,0,6,0
51179,0,6,0
39701,7,6,0
52807,0,6,0
39491,7,6,0
40858,0,6,0
38992,0,6,0
50184,0,6,0
52750,0,6,0
45653,0,6,0
52991,0,6,0
53887,0,6,0
40357,0,6,0
53393,0,6,0
53580,0,6,0
47158,0,6,0
49889,0,6,0
40333,0,6,0
33352,0,6,0
51180,0,6,0
38475,0,6,0
49733,0,6,0
