anime_id,score,watching_status,watched_episodes
49596,9,1,13
19703,6,1,0
21,10,1,97
44387,9,1,6
52034,10,2,11
36793,8,2,12
12291,7,2,12
38670,7,2,12
1292,8,2,5
49520,8,2,12
5784,6,2,4
30123,10,2,12
31173,10,2,12
25013,9,2,24
29513,6,2,1
52193,8,2,12
36864,7,2,25
41433,10,2,12
19429,6,2,12
49979,9,2,12
32828,9,2,12
9989,8,2,11
24833,10,2,22
30654,10,2,25
28391,6,2,12
30205,7,2,12
36214,7,2,1
28805,8,2,1
43756,7,2,12
22789,7,2,12
31043,10,2,12
31964,8,2,13
51781,8,2,2
33486,8,2,25
36456,8,2,25
38408,8,2,25
41587,10,2,25
36896,8,2,1
38699,8,2,2
39565,10,2,1
43683,0,2,1
44200,8,2,1
42603,8,2,2
33929,8,2,1
35459,8,2,1
37828,8,2,1
25839,6,2,24
50549,9,2,1
53411,9,2,12
31478,8,2,12
32867,8,2,12
38003,8,2,12
34944,8,2,1
33071,8,2,1
37963,6,2,30
44511,8,2,12
39175,7,2,1
10029,10,2,1
13807,6,2,1
15037,7,2,4
33661,10,2,13
8358,10,2,1
3745,10,2,1
6217,10,2,1
8359,10,2,1
6460,10,2,1
8360,10,2,1
8361,10,2,1
8362,10,2,1
2450,10,2,1
3744,10,2,1
8363,10,2,1
8364,10,2,1
8365,10,2,1
8366,10,2,1
2172,10,2,1
8367,10,2,1
8368,10,2,1
8369,10,2,1
10116,10,2,1
12499,10,2,1
17113,10,2,1
21395,10,2,1
27653,10,2,1
31978,10,2,1
34244,10,2,1
37597,10,2,13
16592,8,2,13
16355,7,2,13
28223,8,2,12
35928,10,2,12
17513,5,2,12
37520,10,2,24
30346,10,2,1
38691,8,2,24
48549,10,2,11
50612,10,2,1
40852,10,2,11
23333,6,2,12
25567,6,2,1
39545,0,2,1
18507,7,2,12
38680,9,2,25
41120,7,2,11
2238,8,2,3
2890,8,2,1
35222,10,2,12
25183,8,2,12
39533,8,2,11
40421,8,2,1
40491,7,2,6
10417,7,2,1
20583,7,2,25
32935,7,2,10
40262,7,2,2
28891,7,2,25
6895,8,2,12
15809,7,2,13
37141,7,2,13
1030,8,2,1
33654,7,2,12
42897,7,2,13
10408,9,2,1
431,8,2,1
42361,7,2,12
3210,6,2,2
6008,9,2,52
39534,9,2,12
37992,8,2,12
40748,8,2,24
48561,9,2,1
3092,8,2,12
4814,8,2,12
25649,8,2,12
35076,7,2,12
9617,8,2,1
16664,8,2,1
7054,7,2,26
37981,7,2,1
36754,7,2,26
21563,6,2,12
14713,7,2,13
2848,8,2,1
7711,7,2,1
16662,7,2,1
24439,8,2,12
38000,10,2,26
40456,10,2,1
51019,10,2,11
47778,10,2,11
6045,8,2,25
32281,9,2,1
36098,7,2,1
3375,7,2,2
28851,7,2,1
8634,7,2,2
31815,6,2,4
52173,9,2,12
49909,10,2,10
49776,10,2,12
47591,7,2,8
11771,10,2,25
16894,10,2,25
24415,10,2,25
4898,9,2,24
6707,9,2,12
31812,9,2,1
22145,9,2,10
23317,9,2,2
41466,7,2,9
33605,7,2,20
21105,7,2,10
23441,7,2,1
149,7,2,12
34599,10,2,13
36862,10,2,1
41084,8,2,12
35062,10,2,24
512,8,2,1
47792,8,2,9
52211,7,2,12
34209,7,2,12
521,10,2,52
1110,10,2,39
48483,8,2,12
49430,10,2,12
35828,8,2,12
36936,8,2,1
1838,5,2,2
164,8,2,1
41168,8,2,1
20,7,2,220
597,8,2,1
2148,6,2,4
21557,9,2,1
1029,6,2,1
459,7,2,1
460,9,2,1
30276,7,2,12
34134,7,2,12
12355,9,2,1
41332,7,2,8
24211,8,2,13
26243,7,2,12
38797,7,2,8
37407,8,2,1
12137,6,2,1
33255,8,2,120
15771,8,2,1
32542,7,2,12
44055,8,2,12
35994,10,2,16
37450,7,2,13
5774,7,2,2
199,7,2,1
741,7,2,1
31229,7,2,12
5719,6,2,2
16498,8,2,25
25777,8,2,12
35760,8,2,12
38524,8,2,10
40028,7,2,16
42923,8,2,12
48736,8,2,12
7748,7,2,1
49980,10,2,12
54842,9,2,12
14289,8,2,13
16868,7,2,1
31680,0,2,10
33417,0,2,10
30585,7,2,1
32093,8,2,12
38826,10,2,1
513,7,2,1
43690,7,2,12
41353,10,2,13
12695,7,2,2
38480,8,2,12
22319,7,2,12
759,10,2,1
52305,8,2,13
523,7,2,1
53446,10,2,12
32673,8,2,12
40615,8,2,1
40620,8,2,13
39518,9,2,5
32899,7,2,12
51552,10,2,12
46118,7,2,12
38217,10,2,12
39380,10,2,12
43299,7,2,12
35968,10,2,11
38349,10,2,3
37779,8,2,12
39617,8,2,11
37585,7,2,2
40646,7,2,1
35507,8,2,12
32995,7,2,12
40911,8,2,11
49733,10,2,2
43325,9,2,13
23283,8,2,11
889,8,3,3
49918,10,3,12
6880,8,3,3
35120,6,3,6
38671,8,3,3
41025,9,3,13
30016,8,3,12
1735,7,3,104
29803,8,3,2
527,7,3,3
32601,5,4,1
38735,5,4,1
32998,7,4,1
25397,5,4,4
22199,7,4,7
15085,6,4,3
50205,7,4,1
36649,7,4,8
1589,5,4,1
27727,6,4,4
40752,7,4,6
46352,7,4,6
52578,5,4,1
28833,5,4,2
34382,4,4,5
35849,6,4,4
1535,7,4,22
29974,6,4,1
226,6,4,6
22265,7,4,1
1829,6,4,1
243,5,4,11
8074,4,4,1
11061,7,4,34
11135,6,4,3
36124,7,4,2
38594,7,4,1
48926,6,4,2
38080,6,4,2
22693,6,4,5
10620,7,4,22
37510,5,4,1
323,6,4,1
23755,5,4,12
40515,7,4,2
10161,6,4,5
853,7,4,12
1943,5,4,1
20047,6,4,3
34839,6,4,11
9926,7,4,0
23273,6,4,5
37396,6,4,2
1407,5,4,1
29758,5,4,1
36943,6,4,5
4224,6,4,5
33023,7,4,1
48580,7,4,1
33352,6,4,5
21085,6,4,3
28677,6,4,2
33421,8,4,4
55791,0,6,0
31646,0,6,0
55973,0,6,0
37956,0,6,0
306,0,6,0
4970,0,6,0
49938,0,6,0
15039,0,6,0
38963,0,6,0
9919,0,6,0
12967,0,6,0
40128,0,6,0
37171,0,6,0
55310,0,6,0
49283,0,6,0
39195,0,6,0
68,0,6,0
34572,0,6,0
1519,0,6,0
54865,0,6,0
54866,0,6,0
49834,0,6,0
54789,0,6,0
50532,0,6,0
56196,0,6,0
53494,0,6,0
55358,0,6,0
50330,0,6,0
54898,0,6,0
10800,0,6,0
51680,0,6,0
1,0,6,0
36566,0,6,0
38629,0,6,0
40329,0,6,0
44616,0,6,0
50562,0,6,0
53810,0,6,0
57499,0,6,0
48780,0,6,0
29976,0,6,0
11843,0,6,0
6573,0,6,0
53613,0,6,0
48779,0,6,0
49505,0,6,0
51916,0,6,0
37863,0,6,0
48542,0,6,0
53421,0,6,0
38145,0,6,0
55644,0,6,0
37033,0,6,0
32212,0,6,0
36245,0,6,0
6702,0,6,0
33222,0,6,12
49709,0,6,0
54703,0,6,0
36317,0,6,0
54632,0,6,0
54791,0,6,0
37105,0,6,0
40052,0,6,0
23251,0,6,0
56420,0,6,0
52742,0,6,0
38883,0,6,0
40776,0,6,0
35889,0,6,0
9065,0,6,0
9723,0,6,0
55597,0,6,0
48413,0,6,0
53200,0,6,0
270,0,6,0
49692,0,6,0
43760,0,6,0
52364,0,6,0
54856,0,6,0
37972,0,6,0
578,0,6,0
56425,0,6,0
40803,0,6,0
33899,0,6,0
50197,0,6,0
34542,0,6,0
55848,0,6,0
