anime_id,score,watching_status,watched_episodes
40351,8,1,0
51145,10,1,3
33255,10,1,21
37779,10,1,12
9989,10,2,11
9919,9,2,25
33506,9,2,12
31043,9,2,12
31964,4,2,13
33486,4,2,25
14741,7,2,12
16592,7,2,13
38691,10,2,24
6702,10,2,175
22043,10,2,102
22297,10,2,12
20583,7,2,25
40861,9,2,7
35557,10,2,1
38000,10,2,26
40456,10,2,1
49926,10,2,7
47778,10,2,11
28851,10,2,1
34577,6,2,24
40515,10,2,10
527,10,2,276
1564,8,2,192
49730,10,2,8
2201,8,2,1
7695,7,2,1
25805,10,2,1
34540,10,2,1
40881,10,2,1
34034,10,2,146
19291,10,2,93
31592,10,2,47
11757,6,2,25
33352,10,2,13
39617,5,2,11
36456,4,4,0
