anime_id,score,watching_status,watched_episodes
9611,3,1,2
9513,10,1,40
269,9,1,300
6702,6,1,70
1735,6,1,212
21,10,1,512
2928,6,2,1
3269,7,2,1
4469,0,2,1
454,0,2,1
1143,0,2,1
299,0,2,4
9332,0,2,3
10390,0,2,3
873,8,2,26
48,7,2,26
298,8,2,12
1994,0,2,1
11375,10,2,1
1487,0,2,1
5525,7,2,25
6682,0,2,12
7739,0,2,1
10139,0,2,1
12589,0,2,1
1225,0,2,3
3685,6,2,1
8646,0,2,1
6670,0,2,1
1349,5,2,12
8216,0,2,23
49,3,2,5
50,4,2,24
1003,2,2,3
304,0,2,1
880,0,2,22
2198,0,2,2
3090,1,2,2
303,2,2,48
2884,0,2,1
306,0,2,13
8181,0,2,1
5246,0,2,1
1292,8,2,5
244,10,2,39
2387,8,2,1
3835,0,2,26
2548,0,2,48
6075,0,2,12
1636,0,2,2
2554,0,2,51
5931,0,2,1
2041,0,2,51
6709,0,2,1
366,4,2,7
6443,4,2,3
713,8,2,1
1734,0,2,4
4744,7,2,12
5772,5,2,1
1896,1,2,3
5112,9,2,12
6287,6,2,1
47,6,2,1
6078,0,2,1
3549,0,2,26
2546,0,2,48
4389,6,2,3
591,5,2,12
886,6,2,12
1750,4,2,1
1749,4,2,1
8676,7,2,25
9117,0,2,6
9925,0,2,1
1998,6,2,1
5251,0,2,2
1640,5,2,2
2832,5,2,15
3080,7,2,1
9989,0,2,11
9919,7,2,25
11266,4,2,1
7193,9,2,12
6164,3,2,11
10901,0,2,1
1327,0,2,58
2682,0,2,1
1202,8,2,1
4999,8,2,12
1370,4,2,1
586,6,2,11
104,0,2,24
4667,0,2,51
5081,8,2,15
6948,0,2,1
2156,8,2,52
7334,6,2,39
7674,6,2,25
288,5,2,51
9279,0,2,1
5002,0,2,2
12745,0,2,1
4094,3,2,6
57,10,2,26
368,6,2,6
972,0,2,2
2873,0,2,2
5347,0,2,1
1401,0,2,6
530,3,2,46
1498,9,2,12
889,8,2,12
1519,7,2,12
7059,0,2,1
1686,5,2,1
2889,9,2,1
4835,8,2,1
762,6,2,1
834,6,2,1
150,9,2,50
10490,0,2,12
405,6,2,1
1050,10,2,76
357,5,2,8
2131,5,2,4
3132,0,2,26
4177,0,2,26
1348,0,2,3
1347,0,2,8
568,0,2,26
3389,8,2,3
406,9,2,13
1689,7,2,3
5356,7,2,13
2116,10,2,128
1614,10,2,52
6280,0,2,1
4419,0,2,7
4418,0,2,8
4383,0,2,6
4975,10,2,12
831,0,2,24
1014,0,2,2
310,1,2,50
2875,0,2,2
4697,0,2,1
3962,4,2,13
8375,0,2,26
2310,0,2,2
6511,0,2,35
2341,0,2,3
2360,0,2,1
2359,0,2,1
60,6,2,24
1479,0,2,1
1477,0,2,1
2274,5,2,1
2768,7,2,1
1575,6,2,25
1953,8,2,9
2904,7,2,25
2124,0,2,2
1,7,2,26
5,8,2,1
8365,0,2,1
8366,0,2,1
8369,0,2,1
7336,0,2,1
7290,0,2,1
1482,5,2,103
2312,6,2,1
8258,0,2,12
2025,9,2,25
6573,8,2,12
1494,0,2,1
974,6,2,1
1535,9,2,37
2994,0,2,2
5918,0,2,1
9257,0,2,2
8086,0,2,24
9690,0,2,1
10375,0,2,1
3702,9,2,12
5065,10,2,1
1726,7,2,12
1755,0,2,4
552,4,2,54
1313,0,2,50
874,0,2,51
2123,0,2,1
10444,0,2,24
3499,0,2,26
5593,5,2,4
332,0,2,38
2658,0,2,1
7045,0,2,1
2656,0,2,1
5096,0,2,1
223,6,2,153
225,9,2,64
987,0,2,1
6033,0,2,97
11359,0,2,1
502,0,2,1
891,0,2,1
892,0,2,1
893,0,2,1
2520,0,2,1
813,7,2,291
894,3,2,1
895,0,2,1
896,0,2,1
897,0,2,1
898,0,2,1
899,0,2,1
900,0,2,1
901,0,2,1
902,0,2,1
903,0,2,1
904,0,2,1
905,0,2,1
906,0,2,1
986,0,2,1
985,0,2,1
6714,0,2,1
984,0,2,2
12231,0,2,1
5152,0,2,1
10017,0,2,1
2819,0,2,43
3230,6,2,12
4726,6,2,12
1685,9,2,26
4443,0,2,52
10527,0,2,100
10528,0,2,50
3669,0,2,1
6062,0,2,1
9282,0,2,1
10526,0,2,25
6746,7,2,24
9502,0,2,1
226,9,2,13
724,0,2,2
790,9,2,23
3101,0,2,51
1799,0,2,1
426,0,2,4
317,9,2,1
6152,0,2,1
2952,0,2,1
408,9,2,1
6151,0,2,1
1361,0,2,1
1157,4,2,25
71,10,2,24
73,0,2,13
6291,0,2,1
1015,0,2,1
72,10,2,12
121,5,2,51
5114,8,2,64
7902,0,2,16
6421,0,2,4
908,8,2,1
664,5,2,1
430,0,2,1
5838,0,2,1
4725,9,2,12
1845,0,2,39
1281,0,2,20
6472,0,2,35
2885,0,2,23
384,9,2,13
395,9,2,13
8146,0,2,1
8493,1,2,1
129,0,2,50
484,8,2,1
4476,0,2,1
1571,8,2,25
915,0,2,26
918,6,2,201
336,0,2,13
973,0,2,24
5652,0,2,2
4872,9,2,3
268,5,2,6
243,9,2,13
133,6,2,12
1679,6,2,3
881,5,2,1
651,6,2,1
1169,0,2,3
3481,0,2,1
5041,6,2,26
134,9,2,13
3231,0,2,13
8195,0,2,101
2892,2,2,52
3380,0,2,2
2955,0,2,2
8533,0,2,1
2230,0,2,50
270,7,2,13
379,1,2,26
5060,8,2,52
8479,7,2,48
5630,7,2,11
6372,0,2,1
6399,6,2,1
2178,8,2,1
934,9,2,26
9487,0,2,2
4365,0,2,1
1220,5,2,1
431,9,2,1
248,7,2,12
488,3,2,12
5231,0,2,127
1784,0,2,2
2883,0,2,1
228,0,2,26
3092,0,2,12
2598,0,2,54
2599,0,2,1
2600,0,2,1
2601,0,2,1
5680,10,2,13
7791,1,2,26
6862,9,2,1
7017,4,2,7
1622,9,2,1
2130,0,2,25
9159,0,2,3
3129,0,2,49
8751,0,2,1
6851,0,2,1
1192,5,2,1
