anime_id,score,watching_status,watched_episodes
52578,0,1,8
1818,0,1,6
49154,0,1,5
42361,0,1,1
40010,0,1,2
51009,0,1,14
53050,7,1,5
19,0,1,14
54112,0,1,3
52034,8,2,11
32998,9,2,12
22199,7,2,24
24833,7,2,22
30654,9,2,25
32827,7,2,12
36308,6,2,1
49596,7,2,24
47917,9,2,12
31043,8,2,12
31964,8,2,13
33486,8,2,25
36456,8,2,25
38408,6,2,25
41587,7,2,25
49918,8,2,25
44511,8,2,12
1575,8,2,25
2904,10,2,25
1,9,2,26
42310,10,2,10
1535,9,2,37
28223,7,2,12
35120,7,2,10
37982,8,2,12
37520,6,2,24
38691,7,2,24
40852,6,2,11
38671,7,2,24
40956,7,2,24
790,8,2,23
3167,7,2,6
10087,7,2,13
11741,7,2,12
5114,9,2,64
56146,7,2,12
37141,6,2,13
11061,10,2,148
51265,4,2,12
34542,8,2,11
46569,9,2,13
40748,8,2,24
48561,7,2,1
37999,9,2,12
43608,9,2,13
40591,9,2,12
34933,8,2,12
50339,7,2,6
37086,9,2,12
40839,9,2,12
42963,9,2,12
38000,7,2,26
32281,7,2,1
22535,8,2,24
43,7,2,1
28623,6,2,12
11771,8,2,25
16894,9,2,25
24415,9,2,25
18115,7,2,25
14513,7,2,25
52211,8,2,12
32182,8,2,12
37510,8,2,13
50172,9,2,12
20,9,2,220
1735,8,2,500
2472,7,2,1
4437,7,2,1
10589,7,2,1
53149,8,2,8
30276,9,2,12
34134,9,2,12
40834,8,2,23
50380,8,2,12
22135,9,2,11
30240,7,2,12
13601,9,2,22
23281,9,2,11
39491,8,2,8
33255,10,2,120
34612,10,2,24
205,10,2,26
37450,7,2,13
16498,10,2,25
25777,10,2,12
35760,10,2,12
38524,10,2,10
40028,9,2,16
48583,10,2,12
48736,8,2,12
50265,9,2,12
50602,9,2,13
9253,10,2,24
22319,9,2,12
27899,8,2,12
36511,8,2,12
37799,7,2,12
42249,8,2,24
37521,9,2,24
33352,8,2,13
37779,7,2,12
43697,7,2,6
35507,8,2,12
51096,8,2,13
52807,0,6,0
