anime_id,score,watching_status,watched_episodes
11759,0,1,2
49520,0,1,3
53787,0,1,1
22199,9,1,13
24151,9,1,2
9919,8,1,3
53428,0,1,1
36649,8,1,12
40935,8,1,2
34572,9,1,0
49834,0,1,0
53439,0,1,6
31478,9,1,8
51680,0,1,0
15583,0,1,0
30346,0,1,0
51417,0,1,1
6702,9,1,20
22043,0,1,1
38084,9,1,15
49709,0,1,1
28907,0,1,8
39533,0,1,0
31859,0,1,3
934,7,1,11
42361,0,1,4
51462,0,1,3
39534,0,1,0
52619,0,1,1
52969,0,1,6
31933,0,1,4
37991,0,1,1
51009,9,1,21
48316,0,1,1
42822,0,1,0
37086,0,1,0
48675,7,1,4
36754,9,1,5
14713,9,1,11
41930,8,1,2
53879,8,1,3
42963,0,1,11
53050,0,1,1
45613,0,1,7
52990,0,1,2
36407,0,1,0
49926,0,1,1
50796,0,1,0
48926,0,1,2
30831,9,1,2
28623,0,1,6
54492,9,1,10
41833,0,1,2
48633,0,1,1
34599,8,1,3
35062,0,1,7
50695,0,1,2
48483,0,1,6
19,0,1,3
37926,0,1,1
877,0,1,25
50582,0,1,1
50593,0,1,0
53300,7,1,12
50461,0,1,1
51705,0,1,2
26243,0,1,6
27775,8,1,3
44961,0,1,13
51297,0,1,3
50932,0,1,3
47790,0,1,0
339,0,1,6
355,8,1,0
52347,0,1,1
44037,0,1,6
47162,0,1,0
52991,0,1,15
53887,0,1,11
33286,8,1,3
54842,0,1,6
54234,0,1,1
40356,0,1,1
54918,0,1,3
52305,0,1,2
52741,0,1,3
48580,0,1,4
35968,0,1,4
14813,0,1,1
50346,0,1,8
52046,0,1,1
14075,0,1,2
54112,0,1,9
52034,8,2,11
33419,7,2,12
41457,10,2,11
48569,8,2,12
49235,7,2,1
12291,7,2,12
30123,8,2,12
5112,6,2,12
6547,8,2,13
9989,8,2,11
21995,9,2,12
10447,6,2,26
12967,8,2,12
7817,7,2,12
39195,8,2,12
47917,10,2,12
31043,9,2,12
52578,9,2,12
1222,10,2,26
14345,8,2,12
53411,8,2,12
44511,10,2,12
2167,8,2,23
4181,8,2,24
42310,9,2,10
12549,7,2,12
6747,8,2,12
16592,7,2,13
35849,10,2,24
6880,7,2,12
28223,7,2,12
43814,8,2,12
40056,8,2,12
35928,9,2,12
37982,7,2,12
226,8,2,13
356,9,2,24
22297,8,2,12
10087,9,2,13
38680,8,2,25
40417,8,2,25
49310,9,2,1
42938,9,2,13
41025,9,2,20
21431,6,2,13
17895,8,2,24
10793,7,2,22
41911,9,2,24
48505,9,2,24
15809,7,2,13
15225,6,2,12
8630,8,2,12
28883,7,2,12
8074,9,2,12
42897,9,2,13
54856,9,2,13
10408,10,2,1
431,9,2,1
55016,9,2,1
185,8,2,26
186,8,2,13
187,7,2,1
11013,8,2,12
249,9,2,167
452,9,2,1
450,9,2,1
451,9,2,1
449,9,2,1
6811,9,2,26
3731,7,2,25
46569,8,2,13
14719,9,2,26
20899,8,2,24
26055,8,2,24
40787,10,2,1
40748,8,2,24
48561,10,2,1
52198,8,2,1
37999,9,2,12
43608,8,2,13
40591,9,2,12
43609,7,2,1
7054,8,2,26
34933,8,2,12
1808,7,2,26
990,7,2,13
52308,7,2,12
40839,9,2,12
1691,7,2,24
38000,8,2,26
40456,8,2,1
51019,8,2,11
47778,9,2,11
6045,7,2,25
9656,7,2,12
17741,7,2,12
32281,9,2,1
36098,9,2,1
40595,8,2,12
49835,7,2,1
28851,9,2,1
34934,9,2,12
41103,9,2,12
17635,7,2,6
146,6,2,12
52173,8,2,12
15379,8,2,12
50590,8,2,13
51815,8,2,12
32949,6,2,12
8560,7,2,2
18153,9,2,12
2034,8,2,24
17247,7,2,12
14833,8,2,12
10397,7,2,12
10110,7,2,13
20541,8,2,12
10620,7,2,26
51179,8,2,12
55818,8,2,1
39535,8,2,11
50360,0,2,1
45576,9,2,12
23755,10,2,24
46420,8,2,1
41491,8,2,24
46422,7,2,24
19815,8,2,12
33674,8,2,1
20507,9,2,12
30503,9,2,13
12355,10,2,1
2966,8,2,13
32729,8,2,13
50739,8,2,12
5530,8,2,25
30296,9,2,12
31240,8,2,25
39587,8,2,13
42203,0,2,12
21771,7,2,3
1699,8,2,24
13759,8,2,24
11499,7,2,12
44055,9,2,12
35994,9,2,16
35851,8,2,1
37450,7,2,13
199,8,2,1
16498,10,2,25
23775,0,2,1
23777,0,2,1
25777,9,2,12
35760,9,2,12
38524,9,2,10
40028,9,2,16
51535,8,2,2
48583,9,2,12
30,8,2,26
32,7,2,1
50416,8,2,12
48736,10,2,12
3588,9,2,51
50265,10,2,12
50602,8,2,13
9253,9,2,24
30484,8,2,23
18277,8,2,24
49980,7,2,12
14289,10,2,13
48171,8,2,1
47194,9,2,25
11757,10,2,25
21881,9,2,24
31765,10,2,1
39597,10,2,12
40540,10,2,11
42916,10,2,1
50275,9,2,1
48556,8,2,12
35790,10,2,25
53393,9,2,13
22319,9,2,12
27899,9,2,12
42249,9,2,24
50608,9,2,13
14227,7,2,13
41389,8,2,12
50307,7,2,12
44931,9,2,1
4224,7,2,25
34902,8,2,12
33352,8,2,13
51552,8,2,12
43299,8,2,12
48614,6,2,1
37779,9,2,12
39617,8,2,11
53126,10,2,13
37585,9,2,2
8861,6,2,12
23283,9,2,11
1195,8,2,13
11319,8,2,12
1840,8,2,12
3712,8,2,12
36793,7,3,5
1535,8,3,5
40938,0,3,2
8675,0,3,5
23273,7,3,6
20583,7,4,6
8769,5,4,0
46471,0,4,1
55791,0,6,0
38735,0,6,0
32998,0,6,0
49979,0,6,0
22729,0,6,1
36882,0,6,0
5081,0,6,0
22789,0,6,0
55305,0,6,0
37498,0,6,0
46352,0,6,0
55357,0,6,0
31964,0,6,0
55690,0,6,0
40904,0,6,0
14741,0,6,0
52505,0,6,0
51916,0,6,0
37520,0,6,0
32212,0,6,0
53127,0,6,0
11741,0,6,0
54703,0,6,0
50425,0,6,0
41710,0,6,0
587,0,6,0
48413,0,6,0
53200,0,6,0
52364,0,6,0
50197,0,6,0
35413,0,6,0
37497,0,6,0
36220,0,6,0
56700,0,6,0
55825,0,6,0
48661,0,6,0
38619,0,6,0
54595,0,6,0
49385,0,6,0
42544,0,6,0
40221,0,6,0
25681,0,6,0
35860,0,6,0
55701,0,6,0
56538,0,6,0
49981,0,6,0
38594,0,6,0
33206,0,6,0
50631,0,6,0
49776,0,6,0
38959,0,6,0
52955,0,6,0
55742,0,6,0
55888,0,6,0
35946,0,6,0
50315,0,6,0
51794,0,6,0
