"381,298,8\n"
"381,713,9\n"
"381,1896,9\n"
"381,8194,8\n"
"381,492,9\n"
"381,1370,7\n"
"381,722,8\n"
"381,7805,9\n"
"381,2205,9\n"
"381,8278,9\n"
"381,531,9\n"
"381,1657,8\n"
"381,552,9\n"
"381,3031,9\n"
"381,5593,9\n"
"381,2665,8\n"
"381,2372,10\n"
"381,365,7\n"
"381,6151,9\n"
"381,133,9\n"
"381,578,7\n"
"381,10189,8\n"
"381,617,9\n"
"381,3464,8\n"
"381,825,9\n"
"381,4023,7\n"
"381,43,9\n"
"381,7148,9\n"
"381,8619,9\n"
"381,194,9\n"
"381,3991,8\n"
"381,1138,9\n"
"381,6327,8\n"
"381,8297,8\n"
"381,1709,8\n"
"381,4793,8\n"
"381,418,9\n"
"381,3515,8\n"
"381,4024,8\n"
"381,2391,7\n"
"381,929,8\n"
"381,5372,8\n"
"381,3005,9\n"
"381,866,9\n"
"381,6802,9\n"
"381,9055,9\n"
"381,7591,9\n"
"381,4849,9\n"
"381,1830,8\n"
"381,1843,8\n"
"382,3901,6\n"
"382,4181,6\n"
"382,5593,5\n"
"382,223,6\n"
"382,36946,5\n"
"382,813,6\n"
"382,903,4\n"
"382,905,6\n"
"382,13263,5\n"
"382,245,7\n"
"382,387,8\n"
"382,1773,5\n"
"382,6811,5\n"
"382,2808,5\n"
"382,666,5\n"
"382,153,6\n"
"382,4282,8\n"
"382,80,6\n"
"382,801,10\n"
"382,20,6\n"
"382,12859,5\n"
"382,1764,7\n"
"382,1172,7\n"
"382,21507,4\n"
"382,50265,6\n"
"382,50602,6\n"
"382,814,5\n"
"382,38481,5\n"
"382,8937,4\n"
"382,49387,8\n"
"382,6951,6\n"
"382,10015,6\n"
"382,9331,5\n"
"382,34798,7\n"
"383,9989,9\n"
"383,30654,9\n"
"383,48585,6\n"
"383,15583,4\n"
"383,28121,7\n"
"383,41025,8\n"
"383,40748,8\n"
"383,9617,9\n"
"383,43609,7\n"
"383,38000,7\n"
"383,9260,8\n"
"383,32937,9\n"
"383,39511,8\n"
"383,51179,7\n"
"383,30240,8\n"
"383,32485,6\n"
"383,39587,9\n"
"383,44942,1\n"
"383,44931,8\n"
"383,48405,7\n"
"384,305,6\n"
"384,47,8\n"
"384,16201,7\n"
"384,9989,8\n"
"384,6676,7\n"
"384,12113,7\n"
"384,1519,7\n"
"384,31043,7\n"
"384,22433,5\n"
"384,6768,4\n"
"384,31147,7\n"
"384,11783,4\n"
"384,21743,4\n"
"384,12565,7\n"
"384,25313,9\n"
"384,9289,7\n"
"384,2002,5\n"
"384,27989,8\n"
"384,31096,5\n"
"384,26055,9\n"
"384,665,6\n"
"384,6205,2\n"
"384,3927,7\n"
"384,33051,7\n"
"384,5678,7\n"
"384,11887,7\n"
"384,28623,5\n"
"384,13655,5\n"
"384,1887,4\n"
"384,18115,6\n"
"384,12119,5\n"
"384,31404,4\n"
"384,31953,6\n"
"384,20507,6\n"
"384,30885,6\n"
"384,31848,5\n"
"384,5040,9\n"
"384,31289,5\n"
"384,19369,5\n"
"384,16397,3\n"
"384,6201,5\n"
"384,10572,4\n"
"384,5355,5\n"
"384,37396,0\n"
"384,30363,3\n"
"384,32282,8\n"
"384,33095,10\n"
"384,23327,8\n"
"384,3470,5\n"
"384,1577,6\n"
"384,12445,7\n"
"384,30567,4\n"
"384,6444,5\n"
"384,2001,8\n"
"384,2158,7\n"
"384,10278,5\n"
